EntryID,entry_date,Operator,RecordID,Title,Author,Year,Journal,DOI,genus,species,growth form,Environment,Collection_Location,collection_date,collection_month,collection_season,Experimental_treatment,Experiment_location,Latitude,Longitude,Location_type,Experiment_type,Treatment_type,Data_from,fig_tbl_num,error_type,T_val,T_err,T_n,T_unit,I_i_val,I_i_err,I_i_n,I_i_unit,I_g_val,I_g_err,I_g_n,I_g_unit,soil_wp_val,soil_wp_err,soil_wp_n,soil_wp_unit,soil_mc_val,soil_mc_err,soil_mc_n,soil_mc_unit,humidity_val,humidity_err,humidity_n,humidity_unit,C_a_val,C_a_err,C_a_n,C_a_unit,C_area_val,C_area_err,C_area_n,C_area_unit,C_mass_val,C_mass_err,C_mass_n,C_mass_unit,N_area_val,N_area_err,N_area_n,N_area_unit,N_mass_val,N_mass_err,N_mass_n,N_mass_unit,P_area_val,P_area_err,P_area_n,P_area_unit,P_mass_val,P_mass_err,P_mass_n,P_mass_unit,CN_val,CN_err,CN_n,CN_unit,CP_val,CP_err,CP_n,CP_unit,chl_val,chl_err,chl_n,chl_unit,rubisco_val,rubisco_err,rubisco_n,rubisco_unit,LMA_val,LMA_err,LMA_n,LMA_unit,CMA_val,CMA_err,CMA_n,CMA_unit,SMA_val,SMA_err,SMA_n,SMA_unit,MA_val,MA_err,MA_n,MA_unit,D_leaf_val,D_leaf_err,D_leaf_n,D_leaf_unit,Leaf_thick_val,Leaf_thick_err,Leaf_thick_n,Leaf_thick_unit,SSA_val,SSA_err,SSA_n,SSA_unit,SAI_val,SAI_err,SAI_n,SAI_unit,BD_dry_val,BD_dry_err,BD_dry_n,BD_dry_unit,BD_wet_val,BD_wet_err,BD_wet_n,BD_wet_unit,A_area_val,A_area_err,A_area_n,A_area_unit,A_mass_val,A_mass_err,A_mass_n,A_mass_unit,A_chl_val,A_chl_err,A_chl_n,A_chl_unit,R_area_val,R_area_err,R_area_n,R_area_unit,R_mass_val,R_mass_err,R_mass_n,R_mass_unit,T_opt_val,T_opt_err,T_opt_n,T_opt_unit,FvFm_val,FvFm_err,FvFm_n,FvFm_unit,A_qe_val,A_qe_err,A_qe_n,A_qe_unit,phi_PSII_val,phi_PSII_err,phi_PSII_n,phi_PSII_unit,qP_val,qP_err,qP_n,qP_unit,NPQ_val,NPQ_err,NPQ_n,NPQ_unit,actinic_val,actinic_unit,RWC_val,RWC_err,RWC_n,RWC_unit,WP_bryo_val,WP_bryo_err,WP_bryo_n,WP_bryo_unit,WP_turg_val,WP_turg_err,WP_turg_n,WP_turg_unit,MCtur_val,MCtur_err,MCtur_n,MCtur_unit,WC_comp_val,WC_comp_err,WC_comp_n,WC_comp_unit,WC_opt_val,WC_opt_err,WC_opt_n,WC_opt_unit,t50_val,t50_err,t50_n,t50_unit,DR_val,DR_err,DR_n,DR_unit,ACi_fit_from,ACi_model,C_i_val,C_i_err,C_i_n,C_i_unit,g_c_val,g_c_err,g_c_n,g_c_unit,V_cmax_val,V_cmax_err,V_cmax_n,V_cmax_unit,gamma_val,gamma_err,gamma_n,gamma_unit,J_max_val,J_max_err,J_max_n,J_max_unit,PI_fit_from,PI_model,phi_Io_val,phi_Io_err,phi_Io_n,phi_Io_unit,P_gmax_val,P_gmax_err,P_gmax_n,P_gmax_unit,theta_val,theta_err,theta_n,R_D_val,R_D_err,R_D_n,R_D_unit,R_2_val,R_2_err,R_2_n,SSE_val,SSE_err,SSE_n,P_Nmax_val,P_Nmax_err,P_Nmax_n,P_Nmax_unit,I_comp_val,I_comp_err,I_comp_n,I_comp_unit,I_sat95_val,I_sat95_err,I_sat95_n,I_sat95_unit,Notes
21123_107,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,umol photons m-2 s-1,14.4165009211216,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_108,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,NA,50,umol photons m-2 s-1,0.12,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_109,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,50,umol photons m-2 s-1,0.62,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_110,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,NA,NA,NA,50,umol photons m-2 s-1,0.41,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_111,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA,NA,50,umol photons m-2 s-1,0.11,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_112,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,50,umol photons m-2 s-1,0.11,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_113,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,50,umol photons m-2 s-1,0.13,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_114,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,NA,NA,NA,50,umol photons m-2 s-1,0.95,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_115,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299,NA,NA,NA,50,umol photons m-2 s-1,0.87,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_116,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297,NA,NA,NA,50,umol photons m-2 s-1,1.23,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_117,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,50,umol photons m-2 s-1,1.62,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21123_118,2025-01-22T00:00:00Z,Robin,21123,"Chlorophyll Fluorescence during Drying and Rehydration in the Mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) …","Z Csintalan, MCF PROCTOR, Z TUBA",1999,Annals of Botany,,Rhytidiadelphus,loreus,NA,Temperate Forest,Field-collected lab,,NA,Winter,No,Britain,NA,NA,NA,NA,NA,Main paper figure,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442,NA,NA,NA,50,umol photons m-2 s-1,1.09,NA,NA,g g-1 dry weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
